datum;prijs_excl_belastingen
"2024-01-01 00:00:00";0,000100
"2024-01-01 01:00:00";0,000010
"2024-01-01 02:00:00";0,000000
"2024-01-01 03:00:00";-0,000010
"2024-01-01 04:00:00";-0,000030
"2024-01-01 05:00:00";-0,000020
"2024-01-01 06:00:00";-0,000050
"2024-01-01 07:00:00";-0,000020
"2024-01-01 08:00:00";0,000000
"2024-01-01 09:00:00";0,000040
"2024-01-01 10:00:00";0,000060
"2024-01-01 11:00:00";0,000540
"2024-01-01 12:00:00";0,002240
"2024-01-01 13:00:00";0,001970
"2024-01-01 14:00:00";0,001130
"2024-01-01 15:00:00";0,003190
"2024-01-01 16:00:00";0,040000
"2024-01-01 17:00:00";0,084460
"2024-01-01 18:00:00";0,061740
"2024-01-01 19:00:00";0,061270
"2024-01-01 20:00:00";0,059970
"2024-01-01 21:00:00";0,054920
"2024-01-01 22:00:00";0,047650
"2024-01-01 23:00:00";0,035550
"2024-01-02 00:00:00";0,029390
"2024-01-02 01:00:00";0,019600
"2024-01-02 02:00:00";0,027330
"2024-01-02 03:00:00";0,016200
"2024-01-02 04:00:00";0,009500
"2024-01-02 05:00:00";0,011200
"2024-01-02 06:00:00";0,044430
"2024-01-02 07:00:00";0,056560
"2024-01-02 08:00:00";0,064280
"2024-01-02 09:00:00";0,066120
"2024-01-02 10:00:00";0,070600
"2024-01-02 11:00:00";0,078800
"2024-01-02 12:00:00";0,099900
"2024-01-02 13:00:00";0,102500
"2024-01-02 14:00:00";0,110600
"2024-01-02 15:00:00";0,105700
"2024-01-02 16:00:00";0,100700
"2024-01-02 17:00:00";0,118930
"2024-01-02 18:00:00";0,081300
"2024-01-02 19:00:00";0,070100
"2024-01-02 20:00:00";0,066700
"2024-01-02 21:00:00";0,054900
"2024-01-02 22:00:00";0,053180
"2024-01-02 23:00:00";0,054900
"2024-01-03 00:00:00";-0,000390
"2024-01-03 01:00:00";-0,001610
"2024-01-03 02:00:00";-0,001390
"2024-01-03 03:00:00";-0,001310
"2024-01-03 04:00:00";-0,001390
"2024-01-03 05:00:00";-0,001950
"2024-01-03 06:00:00";0,001050
"2024-01-03 07:00:00";0,040630
"2024-01-03 08:00:00";0,068300
"2024-01-03 09:00:00";0,075900
"2024-01-03 10:00:00";0,073200
"2024-01-03 11:00:00";0,069200
"2024-01-03 12:00:00";0,060000
"2024-01-03 13:00:00";0,058860
"2024-01-03 14:00:00";0,060860
"2024-01-03 15:00:00";0,076000
"2024-01-03 16:00:00";0,079000
"2024-01-03 17:00:00";0,101000
"2024-01-03 18:00:00";0,114600
"2024-01-03 19:00:00";0,100000
"2024-01-03 20:00:00";0,073230
"2024-01-03 21:00:00";0,067410
"2024-01-03 22:00:00";0,065000
"2024-01-03 23:00:00";0,058120
"2024-01-04 00:00:00";0,057300
"2024-01-04 01:00:00";0,050460
"2024-01-04 02:00:00";0,040000
"2024-01-04 03:00:00";0,025480
"2024-01-04 04:00:00";0,035000
"2024-01-04 05:00:00";0,057730
"2024-01-04 06:00:00";0,072650
"2024-01-04 07:00:00";0,085020
"2024-01-04 08:00:00";0,091470
"2024-01-04 09:00:00";0,094200
"2024-01-04 10:00:00";0,091610
"2024-01-04 11:00:00";0,090030
"2024-01-04 12:00:00";0,086280
"2024-01-04 13:00:00";0,085960
"2024-01-04 14:00:00";0,092110
"2024-01-04 15:00:00";0,098620
"2024-01-04 16:00:00";0,104450
"2024-01-04 17:00:00";0,130210
"2024-01-04 18:00:00";0,140670
"2024-01-04 19:00:00";0,123100
"2024-01-04 20:00:00";0,101650
"2024-01-04 21:00:00";0,096770
"2024-01-04 22:00:00";0,093040
"2024-01-04 23:00:00";0,088610
"2024-01-05 00:00:00";0,086080
"2024-01-05 01:00:00";0,080510
"2024-01-05 02:00:00";0,077010
"2024-01-05 03:00:00";0,072880
"2024-01-05 04:00:00";0,072120
"2024-01-05 05:00:00";0,074520
"2024-01-05 06:00:00";0,080110
"2024-01-05 07:00:00";0,087170
"2024-01-05 08:00:00";0,089780
"2024-01-05 09:00:00";0,095000
"2024-01-05 10:00:00";0,096290
"2024-01-05 11:00:00";0,098220
"2024-01-05 12:00:00";0,092290
"2024-01-05 13:00:00";0,091650
"2024-01-05 14:00:00";0,096500
"2024-01-05 15:00:00";0,100130
"2024-01-05 16:00:00";0,103030
"2024-01-05 17:00:00";0,107430
"2024-01-05 18:00:00";0,108470
"2024-01-05 19:00:00";0,104000
"2024-01-05 20:00:00";0,100130
"2024-01-05 21:00:00";0,094210
"2024-01-05 22:00:00";0,094920
"2024-01-05 23:00:00";0,086800
"2024-01-06 00:00:00";0,082250
"2024-01-06 01:00:00";0,080200
"2024-01-06 02:00:00";0,076130
