time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-01-01 00:00,4940.090,3517.196,356.119,751.061,61,42,26
2024-01-01 00:15,4940.121,3517.196,356.119,751.061,96,42,26
2024-01-01 00:30,4940.162,3517.196,356.119,751.061,73,42,26
2024-01-01 00:45,4940.195,3517.196,356.119,751.061,105,42,26
2024-01-01 01:00,4940.236,3517.196,356.119,751.061,99,42,26
2024-01-01 01:15,4940.273,3517.196,356.119,751.061,112,42,26
2024-01-01 01:30,4940.317,3517.196,356.119,751.061,102,42,26
2024-01-01 01:45,4940.351,3517.196,356.119,751.061,96,42,26
2024-01-01 02:00,4940.389,3517.196,356.119,751.061,96,42,26
2024-01-01 02:15,4940.424,3517.196,356.119,751.061,99,42,26
2024-01-01 02:30,4940.462,3517.196,356.119,751.061,114,42,25
2024-01-01 02:45,4940.502,3517.196,356.119,751.061,113,42,26
2024-01-01 03:00,4940.543,3517.196,356.119,751.061,112,42,26
2024-01-01 03:15,4940.581,3517.196,356.119,751.061,91,42,26
2024-01-01 03:30,4940.617,3517.196,356.119,751.061,96,42,26
2024-01-01 03:45,4940.654,3517.196,356.119,751.061,85,42,26
2024-01-01 04:00,4940.689,3517.196,356.119,751.061,109,42,26
2024-01-01 04:15,4940.730,3517.196,356.119,751.061,90,42,25
2024-01-01 04:30,4940.768,3517.196,356.119,751.061,113,42,26
2024-01-01 04:45,4940.811,3517.196,356.119,751.061,61,42,26
2024-01-01 05:00,4940.843,3517.196,356.119,751.061,97,42,25
2024-01-01 05:15,4940.883,3517.196,356.119,751.061,65,42,25
2024-01-01 05:30,4940.916,3517.196,356.119,751.061,110,42,25
2024-01-01 05:45,4940.957,3517.196,356.119,751.061,90,42,25
2024-01-01 06:00,4940.995,3517.196,356.119,751.061,113,42,25
2024-01-01 06:15,4941.037,3517.196,356.119,751.061,82,42,25
2024-01-01 06:30,4941.071,3517.196,356.119,751.061,96,42,25
2024-01-01 06:45,4941.109,3517.196,356.119,751.061,95,42,25
2024-01-01 07:00,4941.144,3517.196,356.119,751.061,111,42,25
2024-01-01 07:15,4941.183,3517.196,356.119,751.061,112,42,25
2024-01-01 07:30,4941.223,3517.196,356.119,751.061,103,42,25
2024-01-01 07:45,4941.262,3517.196,356.119,751.061,96,42,26
2024-01-01 08:00,4941.299,3517.196,356.119,751.061,96,42,26
2024-01-01 08:15,4941.334,3517.196,356.119,751.061,95,42,26
2024-01-01 08:30,4941.372,3517.196,356.119,751.061,112,42,26
